# bookworm/amd64 离线 apt 依赖清单，由 scripts/apt-offline-download.sh 生成。
# 软件包	版本	架构
7zip	22.01+really26.02+dfsg-0+deb12u1	amd64
ca-certificates	20250419~deb12u1	all
curl	7.88.1-10+deb12u15	amd64
git	1:2.39.5-0+deb12u3	amd64
git-man	1:2.39.5-0+deb12u3	all
libarchive-tools	3.6.2-1+deb12u5	amd64
libarchive13	3.6.2-1+deb12u5	amd64
libbrotli1	1.0.9-2+b6	amd64
libbsd0	0.11.7-2	amd64
libcurl3-gnutls	7.88.1-10+deb12u15	amd64
libcurl4	7.88.1-10+deb12u15	amd64
libdrm-amdgpu1	2.4.114-1+b1	amd64
libdrm-common	2.4.114-1	all
libdrm-intel1	2.4.114-1+b1	amd64
libdrm-nouveau2	2.4.114-1+b1	amd64
libdrm-radeon1	2.4.114-1+b1	amd64
libdrm2	2.4.114-1+b1	amd64
libedit2	3.1-20221030-2	amd64
libelf1	0.188-2.1	amd64
liberror-perl	0.17029-2	all
libexpat1	2.5.0-1+deb12u3	amd64
libgdbm-compat4	1.23-3	amd64
libgl1	1.6.0-1	amd64
libgl1-mesa-dri	22.3.6-1+deb12u2	amd64
libglapi-mesa	22.3.6-1+deb12u2	amd64
libglib2.0-0	2.74.6-2+deb12u9	amd64
libglvnd0	1.6.0-1	amd64
libglx-mesa0	22.3.6-1+deb12u2	amd64
libglx0	1.6.0-1	amd64
libgomp1	12.2.0-14+deb12u1	amd64
libicu72	72.1-3+deb12u1	amd64
libldap-2.5-0	2.5.13+dfsg-5	amd64
libllvm15	1:15.0.6-4+b1	amd64
libnghttp2-14	1.52.0-1+deb12u3	amd64
libpciaccess0	0.17-2	amd64
libperl5.36	5.36.0-7+deb12u3	amd64
libpsl5	0.21.2-1	amd64
librtmp1	2.4+20151223.gitfa8646d.1-2+b2	amd64
libsasl2-2	2.1.28+dfsg-10	amd64
libsasl2-modules-db	2.1.28+dfsg-10	amd64
libsensors-config	1:3.6.0-7.1	all
libsensors5	1:3.6.0-7.1	amd64
libssh2-1	1.10.0-3+deb12u1	amd64
libx11-6	2:1.8.4-2+deb12u2	amd64
libx11-data	2:1.8.4-2+deb12u2	all
libx11-xcb1	2:1.8.4-2+deb12u2	amd64
libxau6	1:1.0.9-1	amd64
libxcb-dri2-0	1.15-1	amd64
libxcb-dri3-0	1.15-1	amd64
libxcb-glx0	1.15-1	amd64
libxcb-present0	1.15-1	amd64
libxcb-randr0	1.15-1	amd64
libxcb-shm0	1.15-1	amd64
libxcb-sync1	1.15-1	amd64
libxcb-xfixes0	1.15-1	amd64
libxcb1	1.15-1	amd64
libxdmcp6	1:1.1.2-3	amd64
libxext6	2:1.3.4-1+b1	amd64
libxfixes3	1:6.0.0-2	amd64
libxml2	2.9.14+dfsg-1.3~deb12u6	amd64
libxshmfence1	1.3-1	amd64
libxxf86vm1	1:1.1.4-1+b2	amd64
libz3-4	4.8.12-3.1	amd64
p7zip	16.02+really26.02+dfsg-0+deb12u1	amd64
p7zip-full	16.02+really26.02+dfsg-0+deb12u1	amd64
perl	5.36.0-7+deb12u3	amd64
perl-modules-5.36	5.36.0-7+deb12u3	all
unzip	6.0-28+deb12u1	amd64
